,Year,Month,Corn_Price,CP_%_Change
0,1995,Jan,106.9,4.23
1,1995,Feb,106.98,0.07
2,1995,Mar,109.63,2.48
3,1995,Apr,109.64,0.01
4,1995,May,111.93,2.09
5,1995,Jun,120.01,7.22
6,1995,Jul,127.31,6.08
7,1995,Aug,126.3,-0.79
8,1995,Sep,130.51,3.33
9,1995,Oct,140.82,7.9
10,1995,Nov,143.21,1.7
11,1995,Dec,148.19,3.48
12,1996,Jan,156.67,5.72
13,1996,Feb,164.71,5.13
14,1996,Mar,170.96,3.79
15,1996,Apr,189.03,10.57
16,1996,May,204,7.92
17,1996,Jun,196.64,-3.61
18,1996,Jul,197.62,0.5
19,1996,Aug,186.82,-5.47
20,1996,Sep,145.24,-22.26
21,1996,Oct,128.61,-11.45
22,1996,Nov,117.14,-8.92
23,1996,Dec,116.84,-0.26
24,1997,Jan,118.7,1.59
25,1997,Feb,121.75,2.57
26,1997,Mar,127.86,5.02
27,1997,Apr,124.71,-2.46
28,1997,May,118.61,-4.89
29,1997,Jun,112.58,-5.08
30,1997,Jul,106.42,-5.47
31,1997,Aug,111.95,5.2
32,1997,Sep,112.24,0.26
33,1997,Oct,120.24,7.13
34,1997,Nov,117.4,-2.36
35,1997,Dec,113.6,-3.24
36,1998,Jan,114.37,0.68
37,1998,Feb,113.62,-0.66
38,1998,Mar,113.84,0.19
39,1998,Apr,106.69,-6.28
40,1998,May,105.97,-0.67
41,1998,Jun,101.75,-3.98
42,1998,Jul,100.9,-0.84
43,1998,Aug,88.36,-12.43
44,1998,Sep,85.71,-3.0
45,1998,Oct,95.49,11.41
46,1998,Nov,97.38,1.98
47,1998,Dec,95.32,-2.12
48,1999,Jan,97.45,2.23
49,1999,Feb,94.56,-2.97
50,1999,Mar,96.43,1.98
51,1999,Apr,94.04,-2.48
52,1999,May,92.72,-1.4
53,1999,Jun,92.95,0.25
54,1999,Jul,83.6,-10.06
55,1999,Aug,86.38,3.33
56,1999,Sep,87.12,0.86
57,1999,Oct,85.65,-1.69
58,1999,Nov,85.41,-0.28
59,1999,Dec,87.22,2.12
60,2000,Jan,92.95,6.57
61,2000,Feb,95.08,2.29
62,2000,Mar,95.17,0.09
63,2000,Apr,95.54,0.39
64,2000,May,95.53,-0.01
65,2000,Jun,84.04,-12.03
66,2000,Jul,75.06,-10.69
67,2000,Aug,75.24,0.24
68,2000,Sep,80.15,6.53
69,2000,Oct,84.71,5.69
70,2000,Nov,88.94,4.99
71,2000,Dec,96.22,8.19
72,2001,Jan,94.3,-2.0
73,2001,Feb,92.38,-2.04
74,2001,Mar,91.01,-1.48
75,2001,Apr,87.55,-3.8
76,2001,May,85.08,-2.82
77,2001,Jun,83.16,-2.26
78,2001,Jul,90.75,9.13
79,2001,Aug,92.88,2.35
80,2001,Sep,89.74,-3.38
81,2001,Oct,86.27,-3.87
82,2001,Nov,89.88,4.18
83,2001,Dec,92.31,2.7
84,2002,Jan,91.97,-0.37
85,2002,Feb,90.73,-1.35
86,2002,Mar,89.86,-0.96
87,2002,Apr,87.11,-3.06
88,2002,May,90.33,3.7
89,2002,Jun,93.17,3.14
90,2002,Jul,99.7,7.01
91,2002,Aug,109.89,10.22
92,2002,Sep,113.94,3.69
93,2002,Oct,109.65,-3.77
94,2002,Nov,108.65,-0.91
95,2002,Dec,107.01,-1.51
96,2003,Jan,105.75,-1.18
97,2003,Feb,106.04,0.27
98,2003,Mar,105.06,-0.92
99,2003,Apr,105.25,0.18
100,2003,May,107.82,2.44
101,2003,Jun,106.99,-0.77
102,2003,Jul,97.61,-8.77
103,2003,Aug,100.31,2.77
104,2003,Sep,103.22,2.9
105,2003,Oct,104.17,0.92
106,2003,Nov,108.03,3.71
107,2003,Dec,111.98,3.66
108,2004,Jan,115.09,2.78
109,2004,Feb,122.91,6.79
110,2004,Mar,128.43,4.49
111,2004,Apr,133.39,3.86
112,2004,May,129.3,-3.07
113,2004,Jun,123.23,-4.69
114,2004,Jul,104.48,-15.22
115,2004,Aug,104.04,-0.42
116,2004,Sep,97.76,-6.04
117,2004,Oct,93.37,-4.49
118,2004,Nov,93.75,0.41
119,2004,Dec,95.59,1.96
120,2005,Jan,95.98,0.41
121,2005,Feb,94.36,-1.69
122,2005,Mar,99.94,5.91
123,2005,Apr,96.39,-3.55
124,2005,May,95.27,-1.16
125,2005,Jun,97.56,2.4
126,2005,Jul,105.6,8.24
127,2005,Aug,98.64,-6.59
128,2005,Sep,96.99,-1.67
129,2005,Oct,101.5,4.65
130,2005,Nov,95.97,-5.45
131,2005,Dec,102.66,6.97
132,2006,Jan,102.7,0.04
133,2006,Feb,106.92,4.11
134,2006,Mar,104.89,-1.9
135,2006,Apr,107.82,2.79
136,2006,May,110.57,2.55
137,2006,Jun,109.55,-0.92
138,2006,Jul,114.24,4.28
