,Month,Year,Price,change
1,Nov,1990,82.43,-
2,Dec,1990,83.86,1.73%
3,Jan,1991,83.71,-0.18%
4,Feb,1991,84.88,1.40%
5,Mar,1991,84.23,-0.77%
6,Apr,1991,83.43,-0.95%
7,May,1991,84.17,0.89%
8,Jun,1991,83.84,-0.39%
9,Jul,1991,81.02,-3.36%
10,Aug,1991,73.47,-9.32%
11,Sep,1991,70.33,-4.27%
12,Oct,1991,67.94,-3.40%
13,Nov,1991,64.1,-5.65%
14,Dec,1991,61.76,-3.65%
15,Jan,1992,59.62,-3.47%
16,Feb,1992,56.3,-5.57%
17,Mar,1992,55.33,-1.72%
18,Apr,1992,57.99,4.81%
19,May,1992,60.59,4.48%
20,Jun,1992,63.89,5.45%
21,Jul,1992,65.29,2.19%
22,Aug,1992,59.75,-8.49%
23,Sep,1992,56.65,-5.19%
24,Oct,1992,53.12,-6.23%
25,Nov,1992,52.69,-0.81%
26,Dec,1992,54,2.49%
27,Jan,1993,57.29,6.09%
28,Feb,1993,60.55,5.69%
29,Mar,1993,61.45,1.49%
30,Apr,1993,61.07,-0.62%
31,May,1993,60.17,-1.47%
32,Jun,1993,58.48,-2.81%
33,Jul,1993,57.99,-0.84%
34,Aug,1993,55.5,-4.29%
35,Sep,1993,55.16,-0.61%
36,Oct,1993,54.91,-0.45%
37,Nov,1993,54.91,0.00%
38,Dec,1993,58.74,6.98%
39,Jan,1994,67.94,15.66%
40,Feb,1994,79.97,17.71%
41,Mar,1994,81.77,2.25%
42,Apr,1994,83.25,1.81%
43,May,1994,86.04,3.35%
44,Jun,1994,86.2,0.19%
45,Jul,1994,82.02,-4.85%
46,Aug,1994,76.94,-6.19%
47,Sep,1994,75.29,-2.14%
48,Oct,1994,73.88,-1.87%
49,Nov,1994,76.91,4.10%
50,Dec,1994,86.38,12.31%
51,Jan,1995,94.78,9.72%
52,Feb,1995,99.96,5.47%
53,Mar,1995,110.47,10.51%
54,Apr,1995,113.22,2.49%
55,May,1995,115.85,2.32%
56,Jun,1995,104.36,-9.92%
57,Jul,1995,95.98,-8.03%
58,Aug,1995,84.65,-11.80%
59,Sep,1995,91.1,7.62%
60,Oct,1995,91.53,0.47%
61,Nov,1995,89.29,-2.45%
62,Dec,1995,88.43,-0.96%
63,Jan,1996,85.91,-2.85%
64,Feb,1996,86.79,1.02%
65,Mar,1996,83.23,-4.10%
66,Apr,1996,83,-0.28%
67,May,1996,82.89,-0.13%
68,Jun,1996,83.13,0.29%
69,Jul,1996,79.84,-3.96%
70,Aug,1996,76.71,-3.92%
71,Sep,1996,75.36,-1.76%
72,Oct,1996,75.43,0.09%
73,Nov,1996,75.91,0.64%
74,Dec,1996,78.29,3.14%
75,Jan,1997,79.77,1.89%
76,Feb,1997,80.4,0.79%
77,Mar,1997,80.63,0.29%
78,Apr,1997,78.82,-2.24%
79,May,1997,79.26,0.56%
80,Jun,1997,80.51,1.58%
81,Jul,1997,81.18,0.83%
82,Aug,1997,81.21,0.04%
83,Sep,1997,79.64,-1.93%
84,Oct,1997,77.75,-2.37%
85,Nov,1997,77.22,-0.68%
86,Dec,1997,74.35,-3.72%
87,Jan,1998,72.14,-2.97%
88,Feb,1998,68.84,-4.57%
89,Mar,1998,68.43,-0.60%
90,Apr,1998,65.7,-3.99%
91,May,1998,64.36,-2.04%
92,Jun,1998,68.94,7.12%
93,Jul,1998,69.86,1.33%
94,Aug,1998,68.18,-2.40%
95,Sep,1998,66.39,-2.63%
96,Oct,1998,61.46,-7.43%
97,Nov,1998,56.08,-8.75%
98,Dec,1998,56,-0.14%
99,Jan,1999,55.78,-0.39%
100,Feb,1999,56.19,0.74%
101,Mar,1999,56.71,0.93%
102,Apr,1999,57.74,1.82%
103,May,1999,59.9,3.74%
104,Jun,1999,58.5,-2.34%
105,Jul,1999,54.41,-6.99%
106,Aug,1999,50.98,-6.30%
107,Sep,1999,49.48,-2.94%
108,Oct,1999,47.43,-4.14%
109,Nov,1999,46.21,-2.57%
110,Dec,1999,44.2,-4.35%
111,Jan,2000,47.43,7.31%
112,Feb,2000,53.44,12.67%
113,Mar,2000,57.3,7.22%
114,Apr,2000,58.77,2.57%
115,May,2000,60.5,2.94%
116,Jun,2000,59.47,-1.70%
117,Jul,2000,58.39,-1.82%
118,Aug,2000,60.89,4.28%
119,Sep,2000,61.64,1.23%
120,Oct,2000,60.89,-1.22%
121,Nov,2000,63.98,5.07%
122,Dec,2000,65.86,2.94%
123,Jan,2001,64.18,-2.55%
124,Feb,2001,60.44,-5.83%
125,Mar,2001,54.56,-9.73%
126,Apr,2001,51.16,-6.23%
127,May,2001,49.97,-2.33%
128,Jun,2001,47.46,-5.02%
129,Jul,2001,45.55,-4.02%
130,Aug,2001,43.33,-4.87%
131,Sep,2001,41.26,-4.78%
132,Oct,2001,37.22,-9.79%
133,Nov,2001,37.96,1.99%
134,Dec,2001,42.87,12.93%
135,Jan,2002,43.42,1.28%
136,Feb,2002,42.81,-1.40%
137,Mar,2002,42.04,-1.80%
138,Apr,2002,41.38,-1.57%
139,May,2002,39.89,-3.60%
140,Jun,2002,43.48,9.00%
141,Jul,2002,46.7,7.41%
142,Aug,2002,49.32,5.61%
143,Sep,2002,48.98,-0.69%
144,Oct,2002,49.56,1.18%
145,Nov,2002,52.33,5.59%
146,Dec,2002,55.22,5.52%
147,Jan,2003,56.71,2.70%
148,Feb,2003,58.55,3.24%
149,Mar,2003,61.01,4.20%
150,Apr,2003,60.78,-0.38%
151,May,2003,57.8,-4.90%
152,Jun,2003,58.5,1.21%
153,Jul,2003,60.19,2.89%
154,Aug,2003,60.5,0.52%
155,Sep,2003,64.18,6.08%
156,Oct,2003,72.56,13.06%
157,Nov,2003,76.94,6.04%
158,Dec,2003,73.59,-4.35%
159,Jan,2004,76.24,3.60%
160,Feb,2004,73.92,-3.04%
161,Mar,2004,72.28,-2.22%
162,Apr,2004,69.44,-3.93%
163,May,2004,70.04,0.86%
164,Jun,2004,64.63,-7.72%
165,Jul,2004,57.02,-11.77%
166,Aug,2004,53.47,-6.23%
167,Sep,2004,56.68,6.00%
168,Oct,2004,52.52,-7.34%
169,Nov,2004,49.24,-6.25%
170,Dec,2004,48.6,-1.30%
171,Jan,2005,51.26,5.47%
172,Feb,2005,52.17,1.78%
173,Mar,2005,56.24,7.80%
174,Apr,2005,56.95,1.26%
175,May,2005,55.84,-1.95%
176,Jun,2005,53.99,-3.31%
177,Jul,2005,54.97,1.82%
178,Aug,2005,54.07,-1.64%
179,Sep,2005,54.95,1.63%
180,Oct,2005,58.24,5.99%
181,Nov,2005,56.83,-2.42%
182,Dec,2005,56.53,-0.53%
183,Jan,2006,59.01,4.39%
184,Feb,2006,60.75,2.95%
185,Mar,2006,58.62,-3.51%
186,Apr,2006,57.18,-2.46%
187,May,2006,55.41,-3.10%
188,Jun,2006,56.42,1.82%
