,State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,AL,1995,-0.4325,-0.29,-0.57125,-0.4975,-0.75375,-0.71625,-1.25,-1.30875,-0.8675,1.98375,2.57375,2.3525
1,AL,1996,2.76375,1.75875,2.19125,1.385,-0.0975,-0.375,0.26,0.48375,1.16625,1.065,0.96125,0.98875
2,AL,1997,1.23375,1.285,0.06875,0.825,1.28875,2.6325,2.37625,1.89625,1.645,2.28875,2.555,2.25
3,AL,1998,2.8475,3.0725,1.6775,0.95,-0.71,-1.15125,-1.165,-1.46375,-0.23375,-1.36375,-1.49375,-0.94875
4,AL,1999,-0.1925,-1.2925,-1.27375,-1.8375,-1.0125,0.785,-0.1975,-1.1575,-1.665,-1.445,-1.75875,-2.1125
5,AL,2000,-2.0325,-2.73375,-2.85875,-2.325,-3.0625,-3.07125,-3.88375,-4.46,-4.2875,-4.585,0.42375,0.10375
6,AL,2001,-0.065,-0.37625,0.69,0.3175,0.295,1.205,0.66875,1.09875,1.435,1.60375,0.295,8.32667268469e-17
7,AL,2002,0.0325,-0.79875,-0.81125,-1.5425,-1.05125,-1.1125,-1.13125,-1.39375,1.00125,1.62625,1.90125,2.13375
8,AL,2003,0.88875,1.25375,0.40375,0.745,2.27,3.34125,3.82125,4.065,2.32625,0.70375,0.8375,-0.03
9,AL,2004,-0.475,0.22625,-0.97875,-1.25625,-0.81875,1.07375,0.95625,1.18375,1.9375,2.0375,3.06875,2.795
10,AL,2005,0.9875,0.78125,0.59375,1.2,0.80625,1.705,2.65875,3.0125,1.3525,-0.76625,-0.855,-1.01375
11,AL,2006,-0.96875,-0.9,-1.63625,-1.9475,-1.77,-2.23,-2.8625,-3.13625,-2.915,-1.96375,-1.46125,-1.62875
12,AL,2007,-1.715,-2.16125,-3.26625,-3.235,-3.94125,-4.28,-4.12,-4.7125,-4.69875,-3.7425,-3.76375,-3.8125
13,AL,2008,-3.71625,-3.235,-3.56875,-3.295,-2.7225,-2.9375,-3.15,0.8825,-0.155,-0.0225,-0.33125,0.515
14,AL,2009,0.195,-0.09,0.71125,0.51625,1.73875,0.9525,0.93875,1.35125,2.3325,3.70875,3.02875,4.02125
15,AL,2010,3.51625,1.37375,0.05125,-0.4575,0.2125,-0.64625,-1.33875,-1.4,-2.0925,-2.0,-1.64125,-2.14125
16,AR,1995,1.51444444444,-0.432222222222,-0.818888888889,-0.0422222222222,-0.106666666667,-0.0433333333333,0.163333333333,-0.978888888889,-1.13888888889,-1.36888888889,-1.68666666667,-1.50555555556
17,AR,1996,-1.58444444444,-2.16777777778,-2.15888888889,-1.90333333333,-2.19444444444,-0.627777777778,0.341111111111,0.475555555556,1.65333333333,1.76555555556,2.84888888889,2.35222222222
18,AR,1997,1.88666666667,2.23444444444,2.20888888889,2.83777777778,2.12555555556,2.31444444444,1.23,1.09,0.754444444444,0.932222222222,0.418888888889,0.367777777778
19,AR,1998,1.09333333333,1.16333333333,1.33111111111,-0.546666666667,-1.08222222222,-1.73777777778,-2.13666666667,-2.21111111111,-1.38555555556,-0.671111111111,-0.978888888889,-0.861111111111
20,AR,1999,-0.0733333333333,-1.39555555556,-0.966666666667,-0.767777777778,-0.804444444444,-0.31,-0.995555555556,-1.73555555556,-2.11222222222,-2.08111111111,-2.70666666667,-2.46111111111
21,AR,2000,-2.65444444444,-2.88777777778,-2.87222222222,-2.83222222222,-1.73222222222,-0.41,-1.10111111111,-2.27111111111,-2.35555555556,-2.70888888889,0.0866666666667,0.00666666666667
22,AR,2001,-0.0388888888889,1.08888888889,0.0466666666667,-0.765555555556,-0.735555555556,-0.832222222222,-1.15777777778,-1.25777777778,-0.432222222222,1.01555555556,1.16111111111,2.01222222222
23,AR,2002,1.72444444444,1.21666666667,2.43777777778,0.697777777778,0.71,0.233333333333,0.253333333333,0.222222222222,-0.42,-0.0466666666667,-0.581111111111,0.544444444444
24,AR,2003,-0.794444444444,0.175555555556,-1.05,-1.53888888889,-0.0477777777778,0.601111111111,0.628888888889,0.425555555556,0.325555555556,-0.13,-0.06,-0.598888888889
25,AR,2004,-0.854444444444,-0.433333333333,-0.65,0.318888888889,0.0255555555556,0.838888888889,1.33222222222,1.27,0.115555555556,1.45111111111,2.40888888889,0.393333333333
26,AR,2005,0.717777777778,-0.441111111111,-0.763333333333,-0.872222222222,-1.50777777778,-2.01555555556,-2.02777777778,-2.16111111111,-1.84444444444,-2.55555555556,-2.80333333333,-3.55777777778
27,AR,2006,-3.43333333333,-3.55777777778,-3.23555555556,-3.15666666667,-3.18666666667,-3.21888888889,-2.95333333333,-1.77444444444,-1.03777777778,-0.605555555556,-0.41,0.3
