,Year,Month,Corn_Price,CP_Change,Inflation,AK_P,AL_P,AR_P,AS_P,AZ_P,CA_P,CO_P,CT_P,DE_P,FL_P,FM_P,GA_P,GU_P,HI_P,IA_P,ID_P,IL_P,IN_P,KS_P,KY_P,LA_P,MA_P,MD_P,ME_P,MH_P,MI_P,MN_P,MO_P,MP_P,MS_P,MT_P,NC_P,ND_P,NE_P,NH_P,NJ_P,NM_P,NV_P,NY_P,OH_P,OK_P,OR_P,PA_P,PR_P,PW_P,RI_P,SC_P,SD_P,TN_P,TX_P,UM_P,UT_P,VA_P,VI_P,VT_P,WA_P,WI_P,WV_P,WY_P,AK_T,AL_T,AR_T,AS_T,AZ_T,CA_T,CO_T,CT_T,DE_T,FL_T,FM_T,GA_T,GU_T,HI_T,IA_T,ID_T,IL_T,IN_T,KS_T,KY_T,LA_T,MA_T,MD_T,ME_T,MH_T,MI_T,MN_T,MO_T,MP_T,MS_T,MT_T,NC_T,ND_T,NE_T,NH_T,NJ_T,NM_T,NV_T,NY_T,OH_T,OK_T,OR_T,PA_T,PR_T,PW_T,RI_T,SC_T,SD_T,TN_T,TX_T,UM_T,UT_T,VA_T,VI_T,VT_T,WA_T,WI_T,WV_T,WY_T,Wheat_Price,WP_%_Change,Sorghum_Price,SP%_Change
0,1991,Jan,105.51,3.08%,0.6,7.784102564,17.34507937,11.57848921,39.87,2.964770115,2.670074257,1.56940367,6.99030303,12.24,17.34153846,21.9,20.0092029,8.628,7.516372549,2.038988095,3.106810345,4.157544643,5.007945205,1.493754266,8.685735294,27.22278788,8.025454545,9.434222222,6.781948052,16.64,3.331578947,0.99175,5.215530726,6.213333333,15.96899225,1.518135593,12.70496855,0.41620438,1.265041667,6.5736,10.28074074,1.562131148,0.838415842,6.236321244,5.575096774,3.83839196,7.317277487,7.279175258,5.267076923,49.1,8.72,16.7116129,0.472777778,7.735784314,10.86427885,4,2.053272727,9.107165354,3.853076923,6.54372093,11.23687898,1.775526316,9.294361702,0.848854962,-10.58371795,6.073678161,2.566336634,27.35,5.35875,8.020630372,-4.448773585,-5.59173913,-0.165555556,15.71277372,27.00625,5.883482143,26.45,19.18653061,-10.9670073,-3.2,-5.962012987,-5.213431373,-2.448407643,-0.628243243,7.715747126,-6.020508475,-0.356666667,-11.9525,27.6,-9.920291971,-15.80102564,-2.889589041,25.39,5.600795455,-7.001283186,3.202826087,-15.61057377,-6.2386875,-9.992,-2.928222222,-0.20295858,0.065614035,-7.9725,-4.836048387,1.13424,2.407446809,-4.707259259,23.23064516,25.8,-4.36375,5.213647059,-10.16541667,1.71965812,6.892337963,25.975,-3.233128834,0.781132075,21.006,-11.30405405,1.874615385,-13.1558125,-1.692696629,-6.254198473,111.33,-1.63%,105.07,4.06%
1,1991,Feb,106.29,0.74%,0.15,8.979401709,13.30611111,8.721366906,67.08,2.68683908,6.751089109,0.723669725,5.175454545,2.8525,3.873162393,17.74315789,7.149130435,10.37,10.80882353,0.753035714,1.723965517,2.598035714,4.730205479,0.134232082,12.54441176,15.2570303,4.934805195,3.354,3.333506494,11.99333333,2.105338346,2.007375,1.877094972,6.093333333,20.74930233,0.989576271,5.229308176,1.091605839,0.748041667,4.1092,3.723888889,1.161038251,1.194653465,4.060259067,5.028967742,0.873065327,7.842827225,4.33371134,12.52969231,12.845,5.575,5.076021505,2.071597222,19.06558824,5.271346154,0.67,1.352545455,4.948976378,5.546153846,3.201395349,12.6033758,1.561,7.359361702,0.866641221,-11.24641026,10.1983908,7.687524752,27.7,9.0880625,10.49272206,-0.943490566,-2.426086957,2.923333333,17.60934307,27.30125,10.37482143,26.35,20.17428571,-4.90080292,-0.237573529,-1.027597403,-0.851372549,3.385350318,3.733918919,11.63816092,-2.76440678,2.919375,-7.980625,27.8,-6.608540146,-9.656602564,2.987534247,24.67,9.608295455,-3.694115044,6.518550725,-9.53852459,-1.2291875,-6.1415,0.054888889,3.61035503,4.056754386,-4.592039474,-1.209516129,6.56256,4.58643617,-1.754148148,23.10548387,25.73,-1.54625,9.239294118,-4.874097222,5.507521368,10.6075,25.9,0.337055215,4.13245283,21.492,-6.962432432,4.2475,-7.8395,1.84494382,-3.423435115,113.91,2.32%,106.37,1.24%
2,1991,Mar,109.05,2.60%,0.15,6.744273504,17.49436508,9.195035971,19.32,8.278563218,25.22623762,3.586743119,12.72939394,13.61125,15.91418803,35.63210526,18.74985507,3.55,32.83284314,10.79922619,4.779827586,10.31267857,11.3109589,3.93221843,14.07801471,11.34369697,12.26194805,12.66488889,13.30792208,44.14333333,8.338947368,4.807625,7.241284916,4.273333333,15.54131783,2.268728814,16.82,0.949781022,4.693291667,9.421,12.86851852,2.371803279,4.711188119,10.15082902,8.871677419,4.931457286,12.26256545,9.848814433,7.366153846,41.005,15.08125,16.67053763,1.934791667,16.63196078,3.11900641,8.45,3.947757576,14.81811024,3.685384615,9.183488372,9.824076433,7.575526316,15.25914894,1.819847328,-6.500384615,13.42781609,11.72435644,28,9.966125,9.566189112,2.543962264,2.881304348,6.735555556,19.09912409,27.2575,13.56035714,26.9,19.5222449,3.506131387,2.520735294,5.511493506,5.034901961,8.382165605,8.138918919,14.97229885,2.437288136,6.763541667,-0.99484375,27.475,0.30540146,-0.563269231,8.380547945,24.77,13.12102273,1.504646018,10.21688406,-0.146311475,4.644875,-0.0255,4.642444444,6.541715976,4.939912281,0.914144737,4.512016129,11.19144,5.009680851,3.437851852,23.44709677,26.04,3.23,12.75105882,2.336666667,9.472820513,15.31703704,26,3.873128834,7.675849057,22.548,-0.790810811,5.338397436,0.253375,5.868764045,1.309465649,119.42,4.84%,109.9,3.32%
3,1991,Apr,110.23,1.08%,0.15,6.920512821,17.86087302,29.12503597,26.175,0.034252874,1.613861386,2.817247706,7.6,9.1925,13.22564103,28.59,13.51014493,12.324,9.778823529,14.64261905,4.757758621,8.593839286,9.406027397,7.565870307,7.991323529,33.50672727,9.401038961,6.154888889,9.785584416,34.63166667,10.06789474,9.6564375,13.34011173,13.07666667,35.74550388,5.636271186,11.60893082,5.726861314,6.624875,8.4754,10.2112963,0.209945355,1.388910891,9.634455959,9.467483871,8.823065327,9.351099476,7.879381443,7.243692308,20.96,11.6075,12.11870968,8.066180556,14.2872549,9.413365385,2.64,3.387818182,6.382047244,1.903846154,8.31627907,11.47541401,10.14157895,8.025851064,4.659465649,0.960833333,17.84896552,16.49207921,28,14.917625,13.12326648,6.481462264,9.713913043,12.74555556,22.57759124,27.6,17.64526786,27.65,20.86510204,9.573941606,6.777573529,11.99012987,11.57382353,12.55541401,14.33486486,19.29103448,8.886610169,13.315,5.40625,27.55,6.984452555,6.732051282,13.57164384,26.115,17.78147727,5.447389381,15.13427536,6.486147541,9.0601875,7.29775,10.82311111,11.24136095,9.068859649,8.261315789,10.86854839,15.57232,8.281808511,10.03992593,24.16677419,26.51,9.39,17.08294118,7.293541667,15.19666667,18.89634259,26.425,8.026134969,13.55462264,23.834,7.067837838,9.576602564,7.289875,12.22157303,4.356946565,120.89,1.23%,109.02,-0.80%
4,1991,May,105.74,-4.07%,0.3,7.116752137,23.8215873,14.21258993,37.98,0.120977011,1.76039604,4.206146789,12.65787879,4.02,18.47111111,28.64947368,15.17471014,10.928,7.367058824,13.27559524,6.889482759,12.61647321,10.15856164,11.12863481,10.64441176,29.87515152,8.841688312,4.514666667,9.102467532,31.86166667,9.288947368,12.780625,13.28726257,7.126666667,27.84472868,7.178728814,8.568616352,7.842481752,12.317625,8.7764,6.358148148,2.770983607,3.325445545,7.812487047,7.310967742,13.33673367,9.228848168,5.839896907,14.344,32.405,7.8425,13.23978495,13.70277778,16.52215686,10.48358974,1.93,4.491636364,6.423543307,4.817692308,8.823023256,6.479235669,12.01442105,5.65212766,8.427175573,6.976346154,20.7783908,20.37455446,27.1,18.992875,15.6130086,12.91372642,15.34826087,18.02333333,24.47467153,27.755,20.61142857,28.1,21.93693878,15.96014599,10.83977941,17.22396104,16.78862745,18.59732484,17.83391892,22.41954023,14.56135593,17.94458333,12.059375,27.85,13.16248175,13.60980769,18.36705479,26.85,20.95852273,11.01676991,18.4107971,13.06729508,15.8973125,13.26525,16.43955556,16.68745562,12.91175439,14.13736842,16.42951613,20.41432,11.19882979,15.77207407,25.39225806,26.13,14.3,20.23294118,14.00048611,18.21923077,23.0618287,27.825,13.0296319,17.46971698,25.494,13.01810811,12.05929487,13.366375,16.32022472,10.83122137,122.04,0.95%,101.99,-6.45%
5,1991,Jun,105.11,-0.60%,0.29,4.326666667,12.45793651,7.212086331,26.63,0.745862069,0.85210396,5.018623853,4.450909091,9.68,19.47675214,35.92947368,13.7473913,15.79,8.679509804,10.15886905,4.058965517,4.317767857,4.194178082,6.570750853,8.016617647,14.38012121,6.523246753,5.417555556,5.958831169,30.22833333,4.991052632,12.0921875,5.688212291,11.50333333,10.9844186,9.968305085,10.34993711,10.90978102,9.352375,6.7636,7.081851852,3.534644809,1.161782178,3.914093264,4.438451613,11.27130653,3.832774869,4.531185567,7.628769231,39.815,3.19875,11.06139785,10.93444444,10.67980392,11.25959936,4.66,1.84569697,8.657952756,3.021538462,6.675348837,5.046242038,8.875052632,6.444680851,5.893435115,11.94262821,25.3891954,25.80376238,26.85,24.592875,19.00472779,17.9129717,20.46391304,23.29333333,27.02153285,27.6225,24.84776786,28.05,22.7677551,22.14233577,14.59308824,23.22480519,22.76264706,24.55815287,23.51148649,26.62551724,19.6820339,23.141875,17.6021875,27.75,19.18678832,19.5300641,24.28678082,27.21,25.80522727,15.02265487,23.465,18.47713115,21.6990625,18.44575,21.77111111,21.24923077,18.49438596,19.54407895,21.98983871,25.66264,13.9706383,21.08325926,26.28612903,26.69,19.77125,24.97741176,19.59256944,23.64871795,26.98939815,28.375,18.81361963,22.7140566,26.682,18.46297297,14.25160256,19.4918125,21.3347191,15.96931298,120.15,-1.55%,98,-3.91%
6,1991,Jul,105.73,0.59%,0.15,8.705982906,10.85674603,8.853165468,36.515,2.729367816,0.514009901,6.448119266,8.694242424,13.62375,24.71752137,37.76,17.52347826,25.12,8.67872549,5.843154762,1.007586207,5.212098214,6.375547945,5.613583618,9.581029412,14.4029697,6.571948052,8.592,5.883636364,30.96666667,10.62112782,12.214375,8.492513966,26.35,8.853100775,1.893644068,16.72660377,5.929416058,5.258875,6.4674,12.90981481,9.639344262,0.52990099,7.639948187,6.976580645,6.548442211,1.17104712,9.071752577,13.93215385,75.75,6.84625,17.54365591,4.430972222,8.930588235,7.279342949,8.56,1.229878788,14.15440945,5.667692308,7.209767442,1.381401274,12.10268421,10.56670213,2.571450382,13.0074359,26.62689655,26.84524752,27.2,27.05825,22.4939255,19.54117925,23.10304348,25.04222222,27.4079562,27.54625,26.17482143,27.8,23.76918367,22.38883212,20.18154412,24.11376623,23.81852941,26.00101911,25.13540541,27.34241379,22.45440678,25.39041667,20.3440625,27.725,20.41262774,19.81435897,25.32541096,26.965,26.83386364,19.23800885,25.5084058,19.88368852,22.7854375,21.08775,24.09955556,21.80585799,23.74929825,21.92342105,23.4658871,27.11728,19.61675532,23.18140741,25.98967742,26.43,22.65875,26.67176471,21.39256944,25.38888889,27.60027778,28.55,22.81392638,24.90575472,26.838,20.85891892,19.25602564,20.161375,23.17359551,19.13450382,118.21,-1.61%,99.43,1.46%
7,1991,Aug,110.12,4.15%,0.29,10.83888889,10.15365079,8.661079137,15.02,4.617068966,0.477970297,6.03412844,21.34363636,10.5325,16.27863248,34.52052632,15.58202899,47.89,14.63872549,8.784702381,1.354051724,6.862767857,8.134178082,6.198464164,7.204338235,14.74345455,18.32506494,8.713111111,22.41623377,24,6.724135338,6.9880625,5.581899441,24.98666667,10.0696124,2.375550847,14.89962264,4.45270073,3.948041667,21.1796,12.49185185,8.500983607,1.448118812,10.7073057,7.663032258,6.649698492,1.724397906,7.947371134,12.91,32.25,16.4925,19.89784946,4.375486111,8.543137255,8.551971154,16.02,3.051212121,6.500629921,4.344615385,15.15534884,5.143184713,6.155789474,7.776382979,2.216030534,12.12025641,25.74528736,25.46663366,27.05,26.9538125,21.89492837,19.47490566,20.82565217,23.29,27.30379562,27.34125,25.01544643,27.15,24.05102041,21.1710219,20.12904412,22.62590909,21.96764706,25.08904459,23.56932432,26.64126437,20.46372881,23.48416667,18.3728125,27.875,19.48372263,19.50153846,24.39061644,26.855,25.79954545,20.05026549,23.34384058,20.40172131,22.5075,18.94225,22.06888889,21.67946746,22.47552632,19.84368421,21.71564516,26.27456,19.00218085,21.32607407,26.29193548,26.04,20.65125,24.85094118,21.46819444,23.94196581,27.15782407,28.325,22.28779141,22.88613208,27.04,18.72297297,19.05320513,19.4474375,21.82786517,19.36175573,125.33,6.02%,105.47,6.07%
8,1991,Sep,108.85,-1.15%,0.44,16.44307692,8.343015873,9.242733813,13.825,2.877183908,0.385420792,3.247201835,15.00121212,11.74,11.51529915,50.50842105,5.281014493,29.194,7.850980392,7.056011905,1.977758621,7.894151786,6.031575342,4.340102389,7.712573529,10.5370303,16.99207792,9.052666667,12.05623377,39.14166667,7.123684211,12.5596875,9.646480447,37.12333333,10.01302326,3.994788136,7.228176101,6.444014599,4.239541667,13.4148,11.03,7.069617486,1.887920792,9.404041451,6.704,13.01155779,0.288900524,8.005670103,13.93569231,58.125,14.75375,5.226451613,3.593680556,8.005392157,11.90097756,5.94,4.217454545,5.83503937,9.468461538,12.6744186,0.53611465,11.68278947,7.878404255,3.233358779,7.666153846,23.31505747,21.27534653,26.85,23.152625,20.92054441,14.93226415,16.29565217,19.35666667,26.39985401,27.23,22.88205357,27.1,23.96836735,17.54569343,14.91411765,18.79857143,18.45137255,20.16375796,19.3927027,23.80862069,15.77491525,19.25270833,13.24421875,28.05,15.09467153,14.62698718,19.50746575,26.6,22.83261364,13.79920354,20.3226087,14.46278689,17.977375,14.03575,18.046,17.17183432,17.88131579,15.54059211,17.78620968,20.79424,17.0893617,16.89666667,26.2416129,25.93,16.38,22.462,16.32708333,20.19871795,22.65703704,28.3,16.72680982,19.09056604,26.71,13.90945946,16.69884615,15.1824375,17.58359551,13.37206107,135.37,8.01%,106.21,0.70%
9,1991,Oct,109.52,0.62%,0.15,10.97820513,2.187301587,18.87230216,38.69,1.757011494,3.697079208,2.286788991,7.70030303,5.51875,11.23213675,28.00368421,1.756594203,27.966,11.98696078,7.659107143,2.450603448,15.34558036,12.93869863,3.582389079,6.835955882,10.80872727,9.345844156,5.907777778,9.910909091,19.08333333,14.92067669,3.5779375,10.64877095,35.70666667,6.549844961,1.821694915,3.689937107,4.115109489,3.760958333,11.2526,5.589814815,1.154371585,1.624950495,7.244663212,5.171290323,11.74070352,5.053403141,5.076082474,11.56907692,20.54,6.78625,2.457849462,3.217847222,6.873137255,7.915128205,6.16,3.628060606,3.698818898,7.070769231,12.22162791,4.09388535,9.091473684,3.721595745,2.032519084,-0.39775641,19.06735632,17.75891089,27.2,17.5800625,16.85283668,9.428584906,10.55391304,13.40555556,23.38218978,27.35625,18.36080357,27.6,23.25306122,11.31270073,8.321764706,13.20344156,12.89813725,14.98993631,14.44351351,20.75149425,10.48864407,13.37333333,8.04578125,28.175,9.515693431,8.300897436,14.96746575,26.565,19.07034091,6.717743363,15.18768116,6.984180328,11.3618125,8.91275,11.63044444,12.81911243,11.8354386,9.969605263,12.24233871,17.346,10.55292553,10.74392593,25.70483871,26.42,10.9575,17.48882353,9.345,15.66991453,20.28777778,27.875,10.4797546,13.45528302,25.442,8.826756757,9.797307692,8.998375,12.07359551,7.182900763,146.89,8.51%,107.01,0.75%
