,State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,AK,1995,-12.4452597403,-8.36753246753,-6.56324675325,2.54967532468,7.72818181818,11.7887662338,13.5263636364,11.5949350649,8.86493506494,0.430714285714,-7.7237012987,-11.9324675325
1,AK,1996,-16.26,-13.4984415584,-6.18474025974,0.217077922078,6.95155844156,11.8424025974,13.7533766234,11.7880519481,7.02941558442,-2.24149350649,-9.11207792208,-13.4136363636
2,AK,1997,-13.6581168831,-5.74941558442,-5.8737012987,0.772532467532,6.70038961039,12.3875324675,13.9268181818,12.0795454545,8.14662337662,-1.4738961039,-4.61480519481,-8.93506493506
3,AK,1998,-9.50149350649,-7.2988961039,-4.46233766234,1.34545454545,5.66850649351,11.6875974026,13.7038961039,11.5938961039,7.62415584416,-0.392922077922,-7.81402597403,-13.2448051948
4,AK,1999,-11.512987013,-12.3146103896,-7.8261038961,-1.81253246753,6.16707792208,11.7029220779,13.4915584416,12.1045454545,8.02142857143,1.03928571429,-4.86636363636,-9.71558441558
5,AK,2000,-11.1866883117,-5.07097402597,-5.92675324675,0.266818181818,5.91564935065,11.9411038961,13.2544155844,11.4325974026,6.32902597403,1.12064935065,-5.95844155844,-9.42831168831
6,AK,2001,-10.9075324675,-6.95233766234,-6.90032467532,0.955649350649,6.39097402597,13.1058441558,13.4682467532,12.8463636364,6.82616883117,-0.109220779221,-6.84324675325,-11.4298701299
7,AK,2002,-10.1074675325,-9.31038961039,-4.59545454545,-0.698636363636,8.13071428571,11.8594155844,13.7969480519,12.2143506494,8.58818181818,1.84233766234,-6.10954545455,-7.36967532468
8,AK,2003,-12.0085064935,-7.24487012987,-8.17766233766,0.612142857143,6.79428571429,11.6828571429,13.9427272727,12.139025974,7.78974025974,2.69383116883,-10.5124675325,-10.2924675325
9,AK,2004,-13.2814379085,-9.38019607843,-10.7423529412,1.39366013072,7.84111111111,13.1683660131,14.8921568627,14.5264705882,7.43130718954,0.440261437908,-4.35078431373,-9.61934640523
10,AK,2005,-12.5458823529,-11.0752941176,-4.54954248366,0.582156862745,8.01346405229,12.1094771242,13.3846405229,12.3635947712,7.97464052288,-1.30418300654,-9.63058823529,-9.87411764706
11,AK,2006,-14.8979084967,-9.87352941176,-8.80967320261,-1.04823529412,7.02666666667,11.2489542484,13.7545098039,11.068627451,8.3545751634,2.24281045752,-11.1432026144,-9.29052287582
12,AK,2007,-11.7341176471,-8.82823529412,-9.65843137255,1.52261437908,6.82725490196,12.0618300654,13.6376470588,13.4125490196,7.76895424837,0.19,-4.5085620915,-12.8262091503
13,AK,2008,-8.43642857143,-9.75298701299,-3.77077922078,-1.11675324675,7.32857142857,10.4998051948,12.4387012987,11.2398701299,6.85967532468,-0.899025974026,-7.69305194805,-12.1723376623
14,AK,2009,-15.6720779221,-11.5417532468,-7.85974025974,-1.26701298701,6.67058441558,11.3045454545,14.2456493506,11.3599350649,8.02980519481,-0.632012987013,-8.81954545455,-9.33863636364
