,Year,State,Value,CV (%)
0,2015,Alabama,14960000.0,
1,2015,Arizona,14346000.0,
2,2015,Arkansas,13440000.0,
3,2015,California,16680000.0,
4,2015,Colorado,79635000.0,
5,2015,Delaware,4225000.0,
6,2015,Florida,645000.0,
7,2015,Georgia,6235000.0,
8,2015,Idaho,87850000.0,
9,2015,Illinois,33800000.0,
10,2015,Indiana,17680000.0,
11,2015,Iowa,780000.0,
12,2015,Kansas,321900000.0,
13,2015,Kentucky,32120000.0,
14,2015,Louisiana,3588000.0,
15,2015,Maryland,17280000.0,
16,2015,Michigan,38475000.0,
17,2015,Minnesota,88294000.0,
18,2015,Mississippi,5760000.0,
19,2015,Missouri,32330000.0,
20,2015,Montana,185415000.0,
21,2015,Nebraska,45980000.0,
22,2015,Nevada,650000.0,
23,2015,New Jersey,1000000.0,
24,2015,New Mexico,4750000.0,
25,2015,New York,6930000.0,
26,2015,North Carolina,30210000.0,
27,2015,North Dakota,370023000.0,
28,2015,Ohio,32160000.0,
29,2015,Oklahoma,98800000.0,
30,2015,Oregon,39195000.0,
31,2015,Pennsylvania,11375000.0,
32,2015,South Carolina,7360000.0,
33,2015,South Dakota,103406000.0,
34,2015,Tennessee,26860000.0,
35,2015,Texas,106500000.0,
36,2015,Utah,5775000.0,
37,2015,Virginia,13860000.0,
38,2015,Washington,111540000.0,
39,2015,West Virginia,240000.0,
40,2015,Wisconsin,15540000.0,
41,2015,Wyoming,4160000.0,
42,2014,Alabama,15525000.0,
43,2014,Arizona,9136000.0,
44,2014,Arkansas,24885000.0,
45,2014,California,18350000.0,
46,2014,Colorado,89812000.0,
47,2014,Delaware,5400000.0,
48,2014,Florida,390000.0,
49,2014,Georgia,11270000.0,
50,2014,Idaho,93717000.0,
51,2014,Illinois,44890000.0,
52,2014,Indiana,25460000.0,
53,2014,Iowa,735000.0,
54,2014,Kansas,246400000.0,
55,2014,Kentucky,36210000.0,
56,2014,Louisiana,9300000.0,
57,2014,Maryland,17500000.0,
58,2014,Michigan,34780000.0,
59,2014,Minnesota,66468000.0,
60,2014,Mississippi,12470000.0,
61,2014,Missouri,42920000.0,
62,2014,Montana,209470000.0,
63,2014,Nebraska,71050000.0,
64,2014,Nevada,1050000.0,
65,2014,New Jersey,1325000.0,
66,2014,New Mexico,2940000.0,
67,2014,New York,5985000.0,
68,2014,North Carolina,44660000.0,
69,2014,North Dakota,347068000.0,
70,2014,Ohio,40330000.0,
71,2014,Oklahoma,47600000.0,
72,2014,Oregon,44444000.0,
73,2014,Pennsylvania,9750000.0,
74,2014,South Carolina,11440000.0,
75,2014,South Dakota,131260000.0,
76,2014,Tennessee,31350000.0,
77,2014,Texas,67500000.0,
78,2014,Utah,5882000.0,
79,2014,Virginia,17680000.0,
80,2014,Washington,108460000.0,
81,2014,West Virginia,448000.0,
82,2014,Wisconsin,16250000.0,
83,2014,Wyoming,4750000.0,
84,2013,Alabama,19665000.0,
85,2013,Arizona,8348000.0,
86,2013,Arkansas,37820000.0,
87,2013,California,32500000.0,
88,2013,Colorado,41488000.0,
89,2013,Delaware,4992000.0,
90,2013,Florida,1121000.0,
91,2013,Georgia,21600000.0,
92,2013,Idaho,103592000.0,
93,2013,Illinois,56280000.0,
94,2013,Indiana,31755000.0,
95,2013,Iowa,1092000.0,
96,2013,Kansas,321100000.0,
97,2013,Kentucky,45750000.0,
98,2013,Louisiana,14790000.0,
99,2013,Maryland,17420000.0,
100,2013,Michigan,44250000.0,
101,2013,Minnesota,67152000.0,
102,2013,Mississippi,22330000.0,
103,2013,Missouri,56145000.0,
104,2013,Montana,201635000.0,
105,2013,Nebraska,39900000.0,
106,2013,Nevada,1305000.0,
107,2013,New Jersey,1566000.0,
108,2013,New Mexico,4400000.0,
109,2013,New York,7820000.0,
110,2013,North Carolina,52725000.0,
111,2013,North Dakota,273343000.0,
112,2013,Ohio,44800000.0,
113,2013,Oklahoma,105400000.0,
114,2013,Oregon,53904000.0,
115,2013,Pennsylvania,10540000.0,
116,2013,South Carolina,14310000.0,
117,2013,South Dakota,77558000.0,
118,2013,Tennessee,40825000.0,
119,2013,Texas,68150000.0,
120,2013,Utah,5484000.0,
121,2013,Virginia,17980000.0,
122,2013,Washington,145530000.0,
123,2013,West Virginia,364000.0,
124,2013,Wisconsin,15370000.0,
125,2013,Wyoming,2880000.0,
126,2012,Alabama,10915000.0,
127,2012,Arizona,10360000.0,
128,2012,Arkansas,24475000.0,
129,2012,California,38645000.0,
130,2012,Colorado,69268000.0,
131,2012,Delaware,5624000.0,
132,2012,Florida,630000.0,
133,2012,Georgia,11500000.0,
134,2012,Idaho,97246000.0,
135,2012,Illinois,40960000.0,
136,2012,Indiana,19095000.0,
137,2012,Iowa,650000.0,
138,2012,Kansas,382200000.0,
139,2012,Kentucky,27720000.0,
140,2012,Louisiana,13475000.0,
141,2012,Maryland,14280000.0,
142,2012,Michigan,40660000.0,
143,2012,Minnesota,76430000.0,
