Maize (corn) - Monthly Price,,
Month,Price,Change
Nov-90,100,-
Dec-90,102.36,2.36%
Jan-91,105.51,3.08%
Feb-91,106.29,0.74%
Mar-91,109.05,2.60%
Apr-91,110.23,1.08%
May-91,105.74,-4.07%
Jun-91,105.11,-0.60%
Jul-91,105.73,0.59%
Aug-91,110.12,4.15%
Sep-91,108.85,-1.15%
Oct-91,109.52,0.62%
Nov-91,106.8,-2.48%
Dec-91,106.72,-0.07%
Jan-92,109.59,2.69%
Feb-92,113.92,3.95%
Mar-92,116.68,2.42%
Apr-92,109.06,-6.53%
May-92,109.18,0.11%
Jun-92,110.2,0.93%
Jul-92,102.39,-7.09%
Aug-92,97.54,-4.74%
Sep-92,98.22,0.70%
Oct-92,94.56,-3.73%
Nov-92,95.17,0.65%
Dec-92,94.04,-1.19%
Jan-93,94.1,0.06%
Feb-93,94.25,0.16%
Mar-93,97.54,3.49%
Apr-93,100.49,3.02%
May-93,99.22,-1.26%
Jun-93,92.73,-6.54%
Jul-93,101.89,9.88%
Aug-93,100.31,-1.55%
Sep-93,101.03,0.72%
Oct-93,105.77,4.69%
Nov-93,115.93,9.61%
Dec-93,121.23,4.57%
Jan-94,126.72,4.53%
Feb-94,123.65,-2.42%
Mar-94,120.11,-2.86%
Apr-94,113.42,-5.57%
May-94,110.6,-2.49%
Jun-94,112.08,1.34%
Jul-94,98.73,-11.91%
Aug-94,96.16,-2.60%
Sep-94,97.61,1.51%
Oct-94,96.11,-1.54%
Nov-94,95.61,-0.52%
Dec-94,102.56,7.27%
Jan-95,106.9,4.23%
Feb-95,106.98,0.07%
Mar-95,109.63,2.48%
Apr-95,109.64,0.01%
May-95,111.93,2.09%
Jun-95,120.01,7.22%
Jul-95,127.31,6.08%
Aug-95,126.3,-0.79%
Sep-95,130.51,3.33%
Oct-95,140.82,7.90%
Nov-95,143.21,1.70%
Dec-95,148.19,3.48%
Jan-96,156.67,5.72%
Feb-96,164.71,5.13%
Mar-96,170.96,3.79%
Apr-96,189.03,10.57%
May-96,204,7.92%
Jun-96,196.64,-3.61%
Jul-96,197.62,0.50%
Aug-96,186.82,-5.47%
Sep-96,145.24,-22.26%
Oct-96,128.61,-11.45%
Nov-96,117.14,-8.92%
Dec-96,116.84,-0.26%
Jan-97,118.7,1.59%
Feb-97,121.75,2.57%
Mar-97,127.86,5.02%
Apr-97,124.71,-2.46%
May-97,118.61,-4.89%
Jun-97,112.58,-5.08%
Jul-97,106.42,-5.47%
Aug-97,111.95,5.20%
Sep-97,112.24,0.26%
Oct-97,120.24,7.13%
Nov-97,117.4,-2.36%
Dec-97,113.6,-3.24%
Jan-98,114.37,0.68%
Feb-98,113.62,-0.66%
Mar-98,113.84,0.19%
Apr-98,106.69,-6.28%
May-98,105.97,-0.67%
Jun-98,101.75,-3.98%
Jul-98,100.9,-0.84%
Aug-98,88.36,-12.43%
Sep-98,85.71,-3.00%
Oct-98,95.49,11.41%
Nov-98,97.38,1.98%
Dec-98,95.32,-2.12%
Jan-99,97.45,2.23%
Feb-99,94.56,-2.97%
Mar-99,96.43,1.98%
Apr-99,94.04,-2.48%
May-99,92.72,-1.40%
Jun-99,92.95,0.25%
Jul-99,83.6,-10.06%
Aug-99,86.38,3.33%
Sep-99,87.12,0.86%
Oct-99,85.65,-1.69%
Nov-99,85.41,-0.28%
Dec-99,87.22,2.12%
Jan-00,92.95,6.57%
Feb-00,95.08,2.29%
Mar-00,95.17,0.09%
Apr-00,95.54,0.39%
May-00,95.53,-0.01%
Jun-00,84.04,-12.03%
Jul-00,75.06,-10.69%
Aug-00,75.24,0.24%
Sep-00,80.15,6.53%
Oct-00,84.71,5.69%
Nov-00,88.94,4.99%
Dec-00,96.22,8.19%
Jan-01,94.3,-2.00%
Feb-01,92.38,-2.04%
Mar-01,91.01,-1.48%
Apr-01,87.55,-3.80%
May-01,85.08,-2.82%
Jun-01,83.16,-2.26%
Jul-01,90.75,9.13%
Aug-01,92.88,2.35%
Sep-01,89.74,-3.38%
Oct-01,86.27,-3.87%
Nov-01,89.88,4.18%
Dec-01,92.31,2.70%
Jan-02,91.97,-0.37%
Feb-02,90.73,-1.35%
Mar-02,89.86,-0.96%
Apr-02,87.11,-3.06%
May-02,90.33,3.70%
Jun-02,93.17,3.14%
Jul-02,99.7,7.01%
Aug-02,109.89,10.22%
Sep-02,113.94,3.69%
Oct-02,109.65,-3.77%
Nov-02,108.65,-0.91%
Dec-02,107.01,-1.51%
Jan-03,105.75,-1.18%
Feb-03,106.04,0.27%
Mar-03,105.06,-0.92%
Apr-03,105.25,0.18%
May-03,107.82,2.44%
Jun-03,106.99,-0.77%
Jul-03,97.61,-8.77%
Aug-03,100.31,2.77%
Sep-03,103.22,2.90%
Oct-03,104.17,0.92%
Nov-03,108.03,3.71%
Dec-03,111.98,3.66%
Jan-04,115.09,2.78%
Feb-04,122.91,6.79%
Mar-04,128.43,4.49%
Apr-04,133.39,3.86%
May-04,129.3,-3.07%
