Cotton - Monthly Price,,
Month,Price,Change
Nov-90,82.43,-
Dec-90,83.86,1.73%
Jan-91,83.71,-0.18%
Feb-91,84.88,1.40%
Mar-91,84.23,-0.77%
Apr-91,83.43,-0.95%
May-91,84.17,0.89%
Jun-91,83.84,-0.39%
Jul-91,81.02,-3.36%
Aug-91,73.47,-9.32%
Sep-91,70.33,-4.27%
Oct-91,67.94,-3.40%
Nov-91,64.1,-5.65%
Dec-91,61.76,-3.65%
Jan-92,59.62,-3.47%
Feb-92,56.3,-5.57%
Mar-92,55.33,-1.72%
Apr-92,57.99,4.81%
May-92,60.59,4.48%
Jun-92,63.89,5.45%
Jul-92,65.29,2.19%
Aug-92,59.75,-8.49%
Sep-92,56.65,-5.19%
Oct-92,53.12,-6.23%
Nov-92,52.69,-0.81%
Dec-92,54,2.49%
Jan-93,57.29,6.09%
Feb-93,60.55,5.69%
Mar-93,61.45,1.49%
Apr-93,61.07,-0.62%
May-93,60.17,-1.47%
Jun-93,58.48,-2.81%
Jul-93,57.99,-0.84%
Aug-93,55.5,-4.29%
Sep-93,55.16,-0.61%
Oct-93,54.91,-0.45%
Nov-93,54.91,0.00%
Dec-93,58.74,6.98%
Jan-94,67.94,15.66%
Feb-94,79.97,17.71%
Mar-94,81.77,2.25%
Apr-94,83.25,1.81%
May-94,86.04,3.35%
Jun-94,86.2,0.19%
Jul-94,82.02,-4.85%
Aug-94,76.94,-6.19%
Sep-94,75.29,-2.14%
Oct-94,73.88,-1.87%
Nov-94,76.91,4.10%
Dec-94,86.38,12.31%
Jan-95,94.78,9.72%
Feb-95,99.96,5.47%
Mar-95,110.47,10.51%
Apr-95,113.22,2.49%
May-95,115.85,2.32%
Jun-95,104.36,-9.92%
Jul-95,95.98,-8.03%
Aug-95,84.65,-11.80%
Sep-95,91.1,7.62%
Oct-95,91.53,0.47%
Nov-95,89.29,-2.45%
Dec-95,88.43,-0.96%
Jan-96,85.91,-2.85%
Feb-96,86.79,1.02%
Mar-96,83.23,-4.10%
Apr-96,83,-0.28%
May-96,82.89,-0.13%
Jun-96,83.13,0.29%
Jul-96,79.84,-3.96%
Aug-96,76.71,-3.92%
Sep-96,75.36,-1.76%
Oct-96,75.43,0.09%
Nov-96,75.91,0.64%
Dec-96,78.29,3.14%
Jan-97,79.77,1.89%
Feb-97,80.4,0.79%
Mar-97,80.63,0.29%
Apr-97,78.82,-2.24%
May-97,79.26,0.56%
Jun-97,80.51,1.58%
Jul-97,81.18,0.83%
Aug-97,81.21,0.04%
Sep-97,79.64,-1.93%
Oct-97,77.75,-2.37%
Nov-97,77.22,-0.68%
Dec-97,74.35,-3.72%
Jan-98,72.14,-2.97%
Feb-98,68.84,-4.57%
Mar-98,68.43,-0.60%
Apr-98,65.7,-3.99%
May-98,64.36,-2.04%
Jun-98,68.94,7.12%
Jul-98,69.86,1.33%
Aug-98,68.18,-2.40%
Sep-98,66.39,-2.63%
Oct-98,61.46,-7.43%
Nov-98,56.08,-8.75%
Dec-98,56,-0.14%
Jan-99,55.78,-0.39%
Feb-99,56.19,0.74%
