1913,NA,0.00%,0.00%,0.00%,-1.02%,1.03%,1.02%,0.00%,1.01%,0.00%,1.00%,-0.99%
1914,0.00%,-1.00%,0.00%,-1.01%,1.02%,0.00%,1.01%,2.00%,0.00%,-0.98%,0.99%,-0.98%
1915,0.00%,-0.99%,-1.00%,1.01%,1.00%,0.00%,0.00%,0.00%,0.00%,0.99%,0.98%,0.00%
1916,0.97%,0.00%,0.96%,0.95%,0.94%,0.93%,0.00%,0.93%,1.83%,1.80%,1.77%,0.87%
1917,0.86%,2.56%,0.00%,5.00%,1.59%,1.56%,-1.54%,1.56%,2.31%,1.50%,0.00%,1.48%
1918,2.19%,0.71%,-0.71%,1.43%,2.11%,1.38%,2.72%,1.99%,1.95%,1.91%,1.88%,1.23%
1919,0.00%,-1.82%,1.23%,1.83%,1.20%,0.00%,2.96%,1.72%,0.56%,1.69%,2.21%,2.16%
1920,2.12%,1.04%,1.03%,3.05%,1.48%,1.46%,-0.48%,-2.40%,-1.48%,-0.50%,-0.50%,-2.02%
1921,-2.06%,-3.16%,-0.54%,-1.09%,-2.21%,-0.56%,0.57%,0.00%,-1.13%,0.00%,-0.57%,-0.57%
1922,-2.31%,0.00%,-1.18%,0.00%,0.00%,0.00%,0.60%,-1.19%,0.00%,0.60%,0.60%,0.60%
1923,-0.59%,0.00%,0.00%,0.60%,0.00%,0.59%,1.18%,-0.58%,0.58%,0.58%,0.00%,0.00%
1924,0.00%,-0.58%,-0.58%,-0.58%,0.00%,0.00%,0.59%,-0.58%,0.59%,0.58%,0.00%,0.58%
1925,0.00%,-0.58%,0.58%,-0.58%,0.58%,1.16%,1.14%,0.00%,0.00%,0.00%,1.69%,-0.56%
1926,0.00%,0.00%,-0.56%,0.56%,-0.56%,-0.56%,-1.13%,-0.57%,0.57%,0.57%,0.57%,0.00%
1927,-1.13%,-0.57%,-0.57%,0.00%,0.58%,1.15%,-1.70%,-0.58%,0.58%,0.58%,-0.57%,0.00%
1928,0.00%,-1.16%,0.00%,0.00%,0.58%,-0.58%,0.00%,0.00%,1.17%,-0.58%,0.00%,-0.58%
