Soybeans - Monthly Price,,
Month,Price,Change
Nov-90,211.85,-
Dec-90,213.87,0.95%
Jan-91,207.51,-2.97%
Feb-91,210.13,1.26%
Mar-91,213.32,1.52%
Apr-91,215.89,1.20%
May-91,210.65,-2.43%
Jun-91,208.86,-0.85%
Jul-91,199.1,-4.67%
Aug-91,208.08,4.51%
Sep-91,216.24,3.92%
Oct-91,205.74,-4.86%
Nov-91,205.67,-0.03%
Dec-91,204.15,-0.74%
Jan-92,208.61,2.18%
Feb-92,211.16,1.22%
Mar-92,216.14,2.36%
Apr-92,211.3,-2.24%
May-92,220.37,4.29%
Jun-92,224.39,1.82%
Jul-92,208.1,-7.26%
Aug-92,202.87,-2.51%
Sep-92,202.89,0.01%
Oct-92,197.68,-2.57%
Nov-92,205.21,3.81%
Dec-92,208.91,1.80%
Jan-93,212.33,1.64%
Feb-93,210.03,-1.08%
Mar-93,214.12,1.95%
Apr-93,217.68,1.66%
May-93,221.49,1.75%
Jun-93,221.91,0.19%
Jul-93,258.84,16.64%
Aug-93,246.64,-4.71%
Sep-93,236.06,-4.29%
Oct-93,226.09,-4.22%
Nov-93,243.93,7.89%
Dec-93,252.52,3.52%
Jan-94,255.6,1.22%
Feb-94,249.68,-2.32%
Mar-94,250.55,0.35%
Apr-94,242.76,-3.11%
May-94,250.23,3.08%
Jun-94,249.61,-0.25%
Jul-94,223.24,-10.56%
Aug-94,214.1,-4.09%
Sep-94,207.88,-2.91%
Oct-94,198.71,-4.41%
Nov-94,205.39,3.36%
Dec-94,206.38,0.48%
Jan-95,202.5,-1.88%
Feb-95,203.65,0.57%
Mar-95,209.35,2.80%
Apr-95,211.27,0.92%
May-95,211.64,0.18%
Jun-95,216.65,2.37%
Jul-95,226.92,4.74%
Aug-95,218.92,-3.53%
Sep-95,232.59,6.24%
Oct-95,240.99,3.61%
Nov-95,249.74,3.63%
Dec-95,263.96,5.69%
Jan-96,270.12,2.33%
Feb-96,268.26,-0.69%
Mar-96,265.78,-0.92%
Apr-96,290.42,9.27%
May-96,295.52,1.76%
Jun-96,284.61,-3.69%
Jul-96,288.77,1.46%
Aug-96,296.3,2.61%
Sep-96,297.49,0.40%
Oct-96,259.8,-12.67%
Nov-96,255.28,-1.74%
Dec-96,257.16,0.74%
Jan-97,268.1,4.25%
Feb-97,280.54,4.64%
Mar-97,305.88,9.03%
Apr-97,313.36,2.45%
May-97,319.84,2.07%
Jun-97,304.77,-4.71%
Jul-97,281.16,-7.75%
Aug-97,267.59,-4.83%
Sep-97,255.21,-4.63%
Oct-97,250.75,-1.75%
Nov-97,265.43,5.85%
Dec-97,254.59,-4.08%
Jan-98,246,-3.37%
Feb-98,247.42,0.58%
Mar-98,240.12,-2.95%
Apr-98,235.09,-2.09%
May-98,236.15,0.45%
Jun-98,231.12,-2.13%
Jul-98,232.43,0.57%
Aug-98,202.25,-12.98%
Sep-98,193.34,-4.41%
Oct-98,200.76,3.84%
Nov-98,209.9,4.55%
Dec-98,204.91,-2.38%
Jan-99,195.04,-4.82%
Feb-99,179.67,-7.88%
Mar-99,175.06,-2.57%
Apr-99,177.54,1.42%
May-99,171.45,-3.43%
Jun-99,170,-0.85%
Jul-99,158.31,-6.88%
Aug-99,172,8.65%
Sep-99,180.64,5.02%
Oct-99,178.18,-1.36%
Nov-99,171.2,-3.92%
Dec-99,169.96,-0.72%
Jan-00,180.38,6.13%
Feb-00,185.76,2.98%
Mar-00,190.97,2.80%
Apr-00,197.1,3.21%
May-00,200.87,1.91%
Jun-00,186.95,-6.93%
Jul-00,169.5,-9.33%
Aug-00,167.87,-0.96%
Sep-00,180.45,7.49%
Oct-00,173.61,-3.79%
Nov-00,177.19,2.06%
Dec-00,185.96,4.95%
Jan-01,175.42,-5.67%
Feb-01,167.45,-4.54%
Mar-01,164.38,-1.83%
Apr-01,158.61,-3.51%
May-01,163.87,3.32%
Jun-01,170.23,3.88%
Jul-01,186.65,9.65%
Aug-01,182.75,-2.09%
Sep-01,172.35,-5.69%
Oct-01,160.63,-6.80%
Nov-01,162.56,1.20%
Dec-01,160.15,-1.48%
Jan-02,160.06,-0.06%
Feb-02,160.2,0.09%
Mar-02,168.69,5.30%
Apr-02,171.36,1.58%
May-02,176.64,3.08%
Jun-02,185.37,4.94%
Jul-02,209.09,12.80%
Aug-02,208.22,-0.42%
Sep-02,208.22,0.00%
Oct-02,200.09,-3.90%
Nov-02,210.22,5.06%
Dec-02,208.24,-0.94%
Jan-03,208.68,0.21%
Feb-03,209.64,0.46%
Mar-03,210.24,0.29%
Apr-03,221.72,5.46%
May-03,232.43,4.83%
Jun-03,229.81,-1.13%
Jul-03,214.05,-6.86%
Aug-03,208.24,-2.71%
Sep-03,231.72,11.28%
Oct-03,269.01,16.09%
Nov-03,279.74,3.99%
Dec-03,283.21,1.24%
Jan-04,300.94,6.26%
Feb-04,316.58,5.20%
Mar-04,360.72,13.94%
Apr-04,363.55,0.78%
May-04,347.91,-4.30%
Jun-04,320.69,-7.82%
Jul-04,289.82,-9.63%
Aug-04,225.81,-22.09%
Sep-04,206.47,-8.56%
Oct-04,193.45,-6.31%
Nov-04,195.84,1.24%
Dec-04,198.62,1.42%
Jan-05,195.66,-1.49%
Feb-05,197.59,0.99%
Mar-05,233.18,18.01%
Apr-05,228.76,-1.90%
May-05,233.46,2.05%
Jun-05,254.74,9.12%
Jul-05,253.35,-0.55%
Aug-05,230.43,-9.05%
Sep-05,212.02,-7.99%
Oct-05,211.17,-0.40%
Nov-05,210.7,-0.22%
Dec-05,216.54,2.77%
Jan-06,214.01,-1.17%
Feb-06,214.37,0.17%
Mar-06,212.71,-0.77%
Apr-06,208.9,-1.79%
May-06,217.36,4.05%
Jun-06,216.5,-0.40%
Jul-06,217.25,0.35%
Aug-06,203.84,-6.17%
Sep-06,199.31,-2.22%
Oct-06,217.89,9.32%
Nov-06,244,11.98%
Dec-06,243.31,-0.28%
Jan-07,255.87,5.16%
Feb-07,278.04,8.66%
Mar-07,276.96,-0.39%
Apr-07,270.39,-2.37%
May-07,283.21,4.74%
Jun-07,302.83,6.93%
Jul-07,313.48,3.52%
Aug-07,309.01,-1.43%
Sep-07,347.56,12.48%
Oct-07,358.4,3.12%
Nov-07,389.02,8.54%
Dec-07,423.08,8.76%
Jan-08,461.72,9.13%
Feb-08,508.22,10.07%
Mar-08,495.69,-2.47%
Apr-08,482.79,-2.60%
May-08,489.09,1.30%
Jun-08,552.47,12.96%
Jul-08,554.15,0.30%
Aug-08,471.07,-14.99%
Sep-08,437.84,-7.05%
Oct-08,338.78,-22.62%
Nov-08,329.14,-2.85%
