"Table 4--World and U.S. wheat production, exports and ending stocks",,,,,,,,,
"Mkt year
1/",U.S. production (million bushels),"U.S.
exports (million bushels)","U.S.
ending stocks (million bushels)",World production (million bushels),U.S. share (percent),World exports (million bushels),U.S. share (percent),World ending stocks (million bushels),U.S. share (percent)
1950,"1,019.000",345.000,492.000,,,,,,
1951,988.000,485.000,330.000,,,,,,
1952,"1,306.000",332.000,672.000,,,,,,
1953,"1,173.000",214.000,994.000,,,,,,
1954,984.000,267.000,"1,109.000",,,,,,
1955,937.000,322.000,"1,130.000",,,,,,
1956,"1,005.000",541.000,"1,004.000",,,,,,
1957,956.000,418.000,962.000,,,,,,
1958,"1,457.000",450.000,"1,368.000",,,,,,
1959,"1,118.000",502.000,"1,384.000",,,,,,
1960,"1,354.700",653.500,"1,502.400","8,577.856",15.80,"1,611.469",40.58,"3,044.180",49.34
1961,"1,232.400",715.700,"1,420.600","8,085.417",15.25,"1,725.080",41.50,"2,566.548",55.37
1962,"1,092.000",649.400,"1,269.700","9,067.613",12.04,"1,698.551",38.21,"2,786.863",45.57
1963,"1,146.800",845.600,993.500,"8,465.273",13.55,"2,140.872",39.52,"2,584.075",38.47
1964,"1,283.400",722.700,921.100,"9,733.813",13.18,"2,016.091",35.86,"2,883.610",31.94
1965,"1,315.600",851.800,660.500,"9,528.085",13.47,"2,243.791",37.97,"2,231.593",29.57
1966,"1,304.900",771.300,512.800,"11,047.033",11.90,"2,145.980",35.93,"3,219.557",15.93
1967,"1,507.600",765.300,630.200,"10,727.253",14.05,"1,967.662",38.88,"3,588.538",17.56
1968,"1,556.600",544.200,904.000,"11,896.658",13.09,"1,847.033",29.45,"4,457.416",20.28
1969,"1,442.700",603.000,982.600,"11,170.860",12.92,"2,050.924",29.40,"3,804.554",25.84
1970,"1,351.600",740.800,822.800,"11,263.086",12.00,"2,075.248",35.71,"2,958.934",27.81
1971,"1,618.600",609.800,983.400,"12,644.209",12.80,"2,059.852",29.10,"3,279.156",30.04
1972,"1,546.200","1,135.100",597.100,"12,400.488",12.47,"2,381.029",46.89,"2,753.133",21.68
1973,"1,710.800","1,217.000",340.100,"13,450.733",12.72,"2,420.198",50.28,"3,037.492",11.19
1974,"1,781.900","1,018.500",435.000,"13,052.321",13.65,"2,264.662",44.97,"2,989.211",14.55
1975,"2,126.927","1,172.881",665.629,"12,957.559",16.41,"2,457.824",47.72,"3,186.378",20.89
